code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND17406;HORSE ABAJUR;ÖLÇÜLER 45X102 CM ;PASLANMAZ MALZEMEDEN ÜRETİLMİŞTİR. KUMAŞ ŞAPKASI MEVCUTTUR. SİYAH VE KROM RENKLERİ MEVCUT ;E27;VAR ;12500;24000;Bilgi Yok
PND1262;PILOVITI SARKIT;140 Q ;METALA MALZEME ÜZERİ STATİK BOYA UYGULANMAKTADIR. RAL KODUNA GÖRE İSTENİLEN RENK BOYANMAKTADIR.;E27;YOK;14000;19600;Bilgi Yok
PND1245-I;FREYA SARKIT;ÖLÇÜLERC 40 CM ;pirinç malzeme İSTENİLEN RENK KAPLAMA YAPILIR.;E27 X 1  MAX 20 W;YOK;7500;10000;9 ADET STOK
PND1245-II;FREYA SARKIT;ÖLÇÜLER 60 CM ;ÜRÜN PİRİNÇ MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR.;E27 X 1  MAX 20 W;YOK;8500;12000;9 ADET STOK TEŞHİR HARİÇ
PND1245-III;FREYA SARKIT;ÖLÇÜLER 80 CM ;ÜRÜN PİRİNÇ MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR.;E27 X 1  MAX 20 W;YOK;9500;13000;10 ADET STOK
PND1245-IV;FREYA SARKIT;ÖLÇÜLER 90 CM  ;ÜRÜN PİRİNÇ MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR.;E27 X 1  MAX 20 W;YOK;11000;15000;10 ADET STOK
PND1707-T1;LENA ABAJUR ;ÖLÇÜLER  60 X 40 CM ALT TABLA 45X15 CM ŞAPKA  61 X 24 TOPLAM YÜKSEKLİK 72 CM ;Alüminyum malzemeden üretilmiştir. Kumaş şapka kullanılmıştır.  İstenilen  renk üretilmektedir. ;E72  MAX 40 W;VAR;9500;13300;Bilgi Yok
PND1707-T2;LENA ABAJUR ;123X68X27,5 CM  ;Alüminyum malzemeden üretilmiştir. Kumaş şapka kullanılmıştır.  İstenilen  renk üretilmektedir. ;E72  MAX 40 W;VAR;23500;32900;Bilgi Yok
PND1252-W;LAVANTA APLİK;49 X 24 CM; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir.  ;E14;YOK;3850;5500;1.500,00 TL
PND1251-W;MERCAN APLİK;  Boyutlar  Toplam yükseklik 55 cm  Gövde: 33 X 23 CM Şapka: 25X18x14;  Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir.  ;1,00 TL;YOK;3850;5500;1.500,00 TL
PND1250-W;KÜP APLİK;ÖLÇÜLER  60 CM -17 CM ; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W;YOK;3000;4200;1.500,00 TL
PND-1249W3;YELPAZE  3 L APLİK;ÖLÇÜLER  83 X 34 CM ; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W;YOK;4900;6860;1.250,00 TL
PND-1398W;YELPAZE  2 L APLİK;ÖLÇÜLER  87 X 37 CM ; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W;YOK;3800;5320;1.000,00 TL
PND-1249W;YELPAZE  APLİK;ÖLÇÜLER  37 X 33 CM ; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W;YOK;2000;2800;500,00 TL
PND-1249W2;YELPAZE  2 L APLİK;ÖLÇÜLER  37 X 33 CM ; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W;YOK;2500;3500;350,00 TL
PND1249L;YELPAZE   LAMBADER;ÖLÇÜLER  175  CM ; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W X4;YOK;10000;14000;900,00 TL
PND1249L1;YELPAZE   LAMBADER  / FLOORLAMP;160 CM; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;E14X 3;YOK;12500;17500;Bilgi Yok
PND1249-S;YELPAZE  SARKIT /PENDANT;60 Q; Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;E27 MAX  40 W;YOK;7500;10500;4.000,00 TL
PND1664;YAPRAK  SERİP APLİK/WALL;ÖLÇÜLER  55 X 50  CM ;Pirinç ve cam  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W ;YOK;13000;18200;1.250,00 TL
PND1664/W;YAPRAK  SERİP APLİK/WALL;ÖLÇÜLER  55 X 50  CM ;Pirinç ve cam  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9 MAX  20 W;YOK;13500;18900;1.250,00 TL
PND1664-A;YAPRAK SERİP AVİZE/CHANDELIER;95 Q;PİRİNÇ DÖKÜM VE CAM MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK KAPLANABİLİR.;E14;YOK;55000;77000;Bilgi Yok
PND1665;LEAF APLİK/WALL;ÖLÇÜLER  65 X 45 CM ;Pirinç   malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;E14;YOK;9500;13300;1.500,00 TL
PND1270-W;AİDA  APLİK/WALL;ÖLÇÜLER  55 X 35 CM ;Alüminyum malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;G9X4;VAR;4800;6720;Bilgi Yok
PND1394-W1;PYSO APLİK/WALL;17 Q ;ÜRÜN PİRİNÇ MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR.;G9;YOK;3900;5460;Bilgi Yok
PND1394-W2;PYSO APLİK/WALL;Bilgi Yok;ÜRÜN METAL MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR. DÖVME DESEN KULLANILMIŞTIR.;G9;YOK;1475;2065;Bilgi Yok
PND1394-W3;PYSO APLİK/WALL;Bilgi Yok;ÜRÜN METAL MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR. DÖVME DESEN KULLANILMIŞTIR.;G9;YOK;1875;2625;Bilgi Yok
PND1404;NOON SARKIT/PENDANT;20 Q;ÜRÜN PLEKSİ VE METAL MALZEMEDEN OLUŞMAKTADIR;LED;VAR;1250;1750;5 ADET STOK
PND1404-A;NOON SARKIT/PENDANT;25Q;ÜRÜN PLEKSİ VE METAL MALZEMEDEN OLUŞMAKTADIR;LED;var;1500;2100;5 ADET STOK
PND1404-B;NOON SARKIT/PENDANT;30 Q;ÜRÜN PLEKSİ VE METAL MALZEMEDEN OLUŞMAKTADIR;LED;var;1750;2450;5 ADET STOK
PND1404-C;NOON SARKIT;35Q;ÜRÜN PLEKSİ VE METAL MALZEMEDEN OLUŞMAKTADIR;LED;var;2000;2800;5 ADET STOK
PND1404-W;NOON APLİK/WALL;40 Q;ÜRÜN PLEKSİ VE METAL MALZEMEDEN OLUŞMAKTADIR;LED;var;2500;3500;5 ADET STOK
PND1404-WI;NOON APLİK/WALL;45 Q;ÜRÜN PLEKSİ VE METAL MALZEMEDEN OLUŞMAKTADIR;LED;var;3500;4900;5 ADET STOK
PND1427;BOB SARKIT ;24.5X18 CM ;ÜRÜN  METAL MALZEMEDEN ÜRETİLMEKTEDİR  RENK ALTERNATİFİ RAL KODUNA GÖRE BOYANABİLİR. KABLO BOYLARI SİZLERE GÖRE BELİRLENEBİLİR.;E27X1;YOK;1250;1750;500,00 TL
PND1427-A;BOB SARKIT ;24.5X18 CM ;ÜRÜN  METAL MALZEMEDEN ÜRETİLMEKTEDİR  RENK ALTERNATİFİ RAL KODUNA GÖRE BOYANABİLİR. KABLO BOYLARI SİZLERE GÖRE BELİRLENEBİLİR.;E27X3;YOK;3750;5250;1.500,00 TL
PND1718;MAYBE APLİK/WALL;68X28X14 cm;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;E14;YOK;4450;6230;Bilgi Yok
PND1719;ELISA APLİK /WALL;75X12CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;DS LED;YOK;4850;6790;Bilgi Yok
PND1720;KONİ APLİK ;27X11X16 CM;METAL MALZEMEDEN OLUŞMAKTADIR.RAL KODUNA GÖRE BOYANABİLİR;E14;YOK;1875;2625;Bilgi Yok
PND1721;MEŞALE APLİK/WALL;50X11X9X3,5 CM ;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9;YOK;1350;1890;Bilgi Yok
PND1722-W1;LORA APLİK/WALL;30X10X5 CM ;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9;YOK;1250;1750;Bilgi Yok
PND1722-W2;LORA APLİK/WALL;25x10x5 CM;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9,;YOK;1350;1890;Bilgi Yok
PND1722;LORA AVİZE/CHANDELIER;120X60 CM ;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9;YOK;25000;35000;Bilgi Yok
PND1723-W;LORA APLİK/WALL;32X20 CM ;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9;YOK;2750;3850;Bilgi Yok
PND1724;LORA AVİZE/CHANDELIER;80X80 CM ;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9;YOK;12500;17500;Bilgi Yok
